MABTree,232376,5100024920,981.197,916,1896,4842,8055406,11047.4,592.337,561,1022,1353,8659954,8243.94,981.753,923,1680,4714,9073053,10695.6,643.073,595,1119,1640,8910874,8457.48,1070.7,1007,1880,5456,9038282,11061.6,665.734,632,1141,1441,6699247,7982.77,1036,960,1850,5549,7163333,10823.4,698.76,660,1200,1540,6997506,8944.93,1052.63,1004,1684,2109,7210102,11162.2,715.385,669,1240,1537,7020683,8989.89,1100.35,1049,1757,5175,7950041,11882.7,693.44,659,1203,1479,8219681,9061.4,1136.61,1053,3895,5794,9025404,11797.2,724.304,689,1247,1515,7116003,8734.05,1104.41,1015,3906,5819,7337331,11268.7,731.441,694,1259,1517,7020256,9233.21,1068.18,1004,1722,5457,7965974,11576.5,745.687,709,1275,1528,8665651,9480.14,LinearSearch,12,7
MABTree,117576,4887770224,807.29,759,1429,1850,8757741,9713.07,637.889,609,1083,1369,23527167,10303.5,870.623,821,1493,1936,8748573,10222.5,693.4,662,1170,1443,8687680,9084.61,923.981,869,1569,2000,8760500,10787.1,727.485,695,1234,1497,8667767,9130.77,937.751,881,1593,2027,8734983,10531.2,743.857,710,1265,1520,10232782,9540.46,959.147,906,1586,2068,8777968,10778.8,765.878,732,1298,1544,8676109,9348.13,1005.2,947,1650,2083,8763770,11103.8,812.082,775,1357,1603,8680391,9749.29,1030.09,968,1702,2134,9051215,11101.9,824.562,787,1371,1615,8678571,9883.48,1033.06,972,1708,2145,8754980,10583.5,835.081,797,1384,1627,8669122,9982.6,1038.29,978,1699,2137,8763841,11111.4,844.213,806,1400,1642,8689162,9796.14,LinearSearch,10,7
MABTree,102445,5100024920,963.139,911,1867,2589,8825580,11108.2,587.812,557,1006,1338,8733363,8482.85,975.056,923,1676,2630,8795659,10946.8,641.138,596,1119,1660,8687970,8027.68,1048.1,1000,1860,2780,8793950,10992.2,651.89,620,1124,1430,8667867,8500.6,1013.13,955,1837,2882,8760872,11041.6,682.533,649,1184,1519,8614428,8701.69,1050.62,1004,1670,2116,8777650,11273.3,710.622,667,1233,1533,8629815,8677.19,1091.11,1048,1751,2702,8775723,11362.7,690.697,656,1199,1475,8646008,9066.84,1120.49,1059,2294,2971,8793706,11836.4,721.081,686,1241,1510,8757270,9260.87,1088.19,1020,2311,3032,9105173,11568.8,727.565,691,1254,1513,8616670,9414.4,1061.26,1007,1722,2904,8767631,11384,740.844,705,1270,1522,8617115,9191.5,LinearSearch,12,6
FINEdex,2241160,8282780653,1019.02,881,3139,4686,9220962,10781.4,761.074,755,1374,1622,6634076,9324.73,1010.68,929,3020,4656,9272937,10600.8,834.159,828,1445,1695,8452656,9432.74,1018.92,946,1780,4603,8535939,10458.9,882.663,857,1513,1824,6709217,9806.4,1039.9,962,1750,4300,7315916,10978.8,921.456,880,1590,1922,8014242,9639.34,1066.6,983,1801,4380,8898224,11103.9,959.934,903,1664,1981,8867784,10363.1,1094.91,1006,1860,4521,9350135,11090.7,997.206,932,1727,2024,8398487,10457.9,1118.37,1032,1906,4586,8463736,10836.8,1026.61,958,1768,2052,6819637,10547.2,1145.52,1065,1948,4665,7319837,11143,1057.31,997,1805,2078,7170392,10700.3,1169.85,1095,1984,4731,8841485,11515.6,1085.2,1041,1834,2100,8792034,11021.5,LinearAVX,64
FINEdex,1986015,8282521453,970.433,933,1520,1746,8889293,10785.9,782.341,780,1392,1637,8765808,9602.18,1005.2,957,1553,1776,8835902,11009.1,847.38,842,1447,1688,8759230,9851.2,1020.66,967,1603,1901,8823622,10888.7,893.048,872,1511,1815,8769820,10155.8,1042.93,980,1670,2028,8848842,11078.3,931.587,895,1589,1918,8755104,10080.6,1069.19,997,1742,2102,8851032,10942.6,969.578,917,1662,1977,8785873,10538.8,1096.81,1019,1804,2161,8855426,11219.3,1005.11,941,1723,2019,8792261,10921.7,1124.61,1044,1850,2208,8948615,11598,1039.07,971,1771,2053,8774503,11098.9,1148.76,1071,1888,2243,8835082,11492.8,1067.29,1004,1805,2076,8754034,11124.8,1170.92,1100,1918,2280,8840812,11377.4,1093.8,1044,1835,2097,8765345,10850.3,InterpolationSearch,128
FINEdex,1934122,8282780653,960.546,925,1507,1728,8959790,10683.5,764.807,769,1371,1611,8889938,9437.42,993.839,946,1542,1750,8953181,10917.9,830.184,831,1431,1667,8893102,9308.01,1008.57,955,1589,1881,8924840,10709.9,872.384,856,1489,1785,8861572,9917.65,1030.45,968,1651,1999,8939520,10855.1,912.47,877,1564,1887,8882442,9929.68,1057.87,984,1720,2079,8940081,11169.1,950.796,899,1636,1947,8887763,10493.1,1083.49,1002,1780,2130,8938844,11141.4,987.04,923,1700,1988,8874392,10739.1,1110.58,1027,1829,2180,8955536,11143.5,1019.46,950,1747,2019,8893486,10721.9,1135.53,1056,1866,2223,9101455,11461.4,1049.28,981,1786,2044,8890533,10500.5,1160.38,1089,1898,2261,9199023,11686.2,1078.51,1024,1816,2068,9052374,11159.4,BinarySearch,64
Wormhole,5566873,6400000000,880.798,679,9931,14464,32277459,12409.7,468.966,454,982,1248,7547381,7642.47,1248.47,780,22536,25432,97248895,25360.5,548.316,527,1144,1385,7811096,7766.33,994.696,769,3456,26418,7793819,10592.9,569.542,546,1173,1411,8355413,8262.52,1279.3,830,24260,28410,262532934,60090.3,633.447,609,1260,1492,7141111,8258.82,1332.21,847,25464,29366,9405448,13316.2,646.416,619,1274,1504,9752878,8789.07,1185.25,840,6480,29812,9787671,12271.8,655.366,627,1283,1509,7558611,8732.96,1310.8,853,23487,30416,9394719,12986.2,663.246,635,1290,1518,7834951,8498.54,1195.17,850,4562,30143,584933592,131345,717.141,683,1366,1599,8329808,8899.6,1193.29,880,4438,30181,9741519,12203.6,720.394,686,1369,1602,7146185,8724.27
ART,2637954,8479307288,414.002,331,2553,4107,9727464,6490.85,372.115,369,855,1152,8292727,6392.31,474.277,378,2672,4260,10241394,7468.12,420.09,394,991,1276,8325292,6924.65,528.059,421,2741,4424,9892605,7846.5,457.557,434,1070,1336,8783707,7137.32,533.33,426,2719,4316,9846632,8146.84,473.387,458,1098,1354,9560900,7714.79,536.578,427,2693,4270,9948473,8516.23,483.656,471,1120,1372,9622956,7401.04,539.683,426,2690,4302,9913235,8190.78,490.987,481,1132,1383,9692613,7650.75,549.587,427,2730,4441,9898591,8278.43,498.779,495,1145,1394,9636588,7705.12,576.333,431,3013,5184,9890012,8413.06,505.766,508,1156,1404,9621484,7865.72,614.874,437,3592,5777,9810868,9035.25,521.322,520,1176,1424,9516522,8322.26
XIndex,3354985,18172181408,1681.39,1026,13981,21018,3029346,4850.06,2502.35,841,15411,21000,2774497,5162.7,1750.41,1106,13965,20985,2637798,4754.26,2358.35,832,15278,21265,3327815,7015.09,1611.99,1120,13599,21062,2755478,5009.52,2236.51,857,15443,22223,3647275,8277.14,1545.8,1137,13467,21909,2976955,3359.52,2228.21,882,16372,23705,3177194,7414.52,1559.13,1145,13590,23559,2822384,4546.64,2422.68,920,18740,27020,4930818,12398.6,1610.5,1158,15099,26689,3219057,5261.19,2626.5,957,22014,31205,3964000,8624.07,1697.09,1167,18277,32446,3494527,5032.61,3128.3,987,27830,38828,4437649,10458.5,1882.69,1173,23880,41097,4138266,6123.81,3782.54,1028,33519,47630,5698638,21916.1,2050.75,1193,28187,48938,5021182,9488.22,4459.85,1103,40230,56689,9529735,24236.5,LinearSearch,8
XIndex,2927215,16733358872,1339.8,1204,3893,8700,3926276,2583.41,926.107,871,2360,3089,3730473,2639.09,1331.05,1255,2838,3969,3642208,2160.48,958.369,890,2511,3421,3503289,2500.67,1313.76,1247,2837,3851,3436714,1985.09,987.701,929,2529,3626,3281428,2705.68,1319.67,1246,2925,4618,3337585,1938,1024.84,968,2575,3660,3284518,3140.42,1334.65,1254,2950,4462,1803511,1303.87,1042.46,986,2623,3795,3320645,2609.93,1354.81,1264,3020,4600,2044452,1623.37,1073.23,1011,2694,3993,3260728,3298.73,1385.89,1284,3099,4689,1889909,1680.47,1091.92,1032,2712,3965,3120223,2507.41,1411.24,1293,3175,4754,3188393,2047.7,1127.13,1061,2774,3964,3309925,2002.26,1423.79,1304,3124,4709,3426576,2054.52,1158.89,1086,2827,4042,3218196,4079.85,ExponentialSearch,8
XIndex,2268945,12048792600,20208.4,1177,393143,404148,4986655,81163.4,26191.6,953,432143,440643,3883303,96821.2,18760.4,1221,403776,439282,3776544,78991.5,17148.4,897,511205,541415,3473561,85189.1,10243.3,1214,449631,523006,3914319,61996.9,7978.51,851,497828,701333,3560805,64995.4,4150.66,1201,4614,646575,22283827,42462.1,5161.06,854,5291,852863,4098950,55638.1,2521.26,1211,4546,792413,4124187,30609.7,3194.68,890,5335,905042,4292617,42694.8,1726.01,1205,4683,8556,4126910,19804.8,2432.37,887,5887,1063972,4294994,36904.4,1670.94,1222,4804,9241,4210870,18277.1,2126.98,906,6499,10079,6515142,33701.9,1536.08,1230,5166,10187,2656334,14585.1,1768.95,916,7673,11473,2951820,23826.1,1495.91,1246,6044,11501,4197010,9460.54,1600.74,944,9157,13413,3300182,11170.3,LinearSearch,16
